"Job Title","Average Salary in 2020","Average Salary in 2021","Average Salary in 2022","Average Salary in 2023"
"Data Engineer",1503.62,4348.87,44836.09,91556.93
"Data Scientist",2697.62,4625.00,42446.22,92972.04
"Analytics Engineer",0.00,0.00,45745.82,107910.56
"Business Intelligence Developer",0.00,0.00,1363.64,109890.91
"Machine Learning Engineer",1832.40,4216.65,33462.04,129076.09
"Data Analyst",760.99,3259.07,32932.24,72435.81
"Decision Scientist",0.00,0.00,0.00,159023.33
"Machine Learning Software Engineer",0.00,0.00,92476.92,97061.85
"BI Developer",0.00,0.00,21081.08,101445.73
"Machine Learning Scientist",6419.75,14074.07,45579.56,108630.17
"BI Analyst",0.00,0.00,23647.06,91195.35
"Data Manager",0.00,0.00,12738.44,98748.05
"Business Intelligence Engineer",0.00,0.00,0.00,170952.83
"ML Engineer",247.53,10342.25,36192.45,143186.73
"Data Science Manager",3143.80,14194.36,94889.40,73410.76
"AI Programmer",0.00,0.00,10000.00,46021.75
"Applied Scientist",0.00,0.00,37413.08,144684.37
"Data Analytics Manager",0.00,16521.74,40780.00,83683.26
"Research Engineer",0.00,0.00,18663.32,155867.17
"Research Scientist",4472.73,7545.78,19389.37,139058.27
"Data Lead",0.00,0.00,0.00,171000.00
"Data Strategist",0.00,0.00,0.00,92727.27
"Data Quality Analyst",0.00,0.00,0.00,82397.50
"Data Architect",0.00,5763.69,58791.39,99827.76
"AI Architect",0.00,0.00,0.00,252926.12
"Computer Vision Engineer",2727.27,3250.73,9078.82,135928.00
"Business Intelligence Analyst",0.00,0.00,0.00,137468.18
"Principal Data Scientist",16473.44,132862.44,17277.67,27374.89
"Staff Machine Learning Engineer",0.00,185000.00,0.00,0.00
"Staff Data Scientist",82000.00,52500.00,0.00,0.00
"Consultant Data Engineer",0.00,0.00,0.00,118539.00
"Machine Learning Specialist",0.00,0.00,0.00,55000.00
"Head of Data",0.00,36634.77,38485.16,104110.13
"Data Quality Engineer",0.00,0.00,0.00,23753.00
"Research Analyst",0.00,0.00,0.00,79300.82
"Principal Machine Learning Engineer",0.00,0.00,69090.91,57560.00
"Deep Learning Engineer",0.00,0.00,16930.75,141927.50
"Data Visualization Specialist",0.00,0.00,0.00,117500.00
"MLOps Engineer",0.00,0.00,41280.00,96942.72
"Business Intelligence Data Analyst",0.00,0.00,0.00,83209.50
"Data Science Engineer",0.00,20926.25,7500.00,98521.75
"Data Operations Manager",0.00,0.00,0.00,136000.00
"Data Specialist",0.00,7857.14,50000.00,56542.86
"Head of Data Science",0.00,16595.74,33351.06,129433.34
"Lead Machine Learning Engineer",0.00,0.00,62195.75,28750.00
"AI Scientist",2514.85,5646.74,61727.12,43552.78
"Managing Director Data Science",300000.00,0.00,0.00,0.00
"Data Modeller",0.00,0.00,0.00,83052.00
"Finance Data Analyst",0.00,20632.00,0.00,121301.67
"Software Data Engineer",0.00,0.00,0.00,111627.67
"Machine Learning Research Engineer",0.00,5000.00,16548.00,40956.00
"Compliance Data Analyst",0.00,0.00,0.00,45000.00
"Data Operations Specialist",0.00,0.00,0.00,55355.00
"Business Data Analyst",20625.00,7193.88,28328.25,15958.94
"Data Engineer 2",0.00,0.00,0.00,46565.00
"Data Science Consultant",3745.45,13717.75,29159.42,48663.89
"Cloud Data Engineer",0.00,62323.50,0.00,69294.25
"Analytics Engineering Manager",0.00,0.00,0.00,399880.00
"Machine Learning Infrastructure Engineer",3860.00,15000.00,30037.31,94714.23
"Director of Data Science",15853.66,41148.24,12186.49,138630.44
"Insight Analyst",0.00,0.00,0.00,47370.00
"ETL Developer",0.00,0.00,90857.57,42264.29
"NLP Engineer",0.00,0.00,8028.08,115051.46
"Data Operations Engineer",0.00,0.00,31904.76,120501.67
"Staff Data Analyst",7500.00,0.00,0.00,89999.00
"Applied Machine Learning Scientist",0.00,34822.64,56116.15,13723.09
"AWS Data Architect",0.00,0.00,0.00,258000.00
"Product Data Analyst",3333.33,0.00,40000.00,26102.83
"BI Data Analyst",6322.58,22016.71,23990.58,19586.32
"Machine Learning Developer",0.00,21875.00,50828.50,0.00
"Data Integration Specialist",0.00,0.00,0.00,59465.31
"Data Visualization Analyst",0.00,0.00,0.00,120000.00
"Autonomous Vehicle Technician",0.00,22777.50,0.00,60000.00
"Data Modeler",0.00,0.00,0.00,114252.44
"Sales Data Analyst",60000.00,0.00,0.00,0.00
"Data Operations Analyst",0.00,0.00,51750.00,39410.00
"Data Science Lead",0.00,14285.71,15714.29,139320.64
"Applied Machine Learning Engineer",0.00,0.00,0.00,141726.33
"Applied Data Scientist",0.00,15281.40,74790.70,20176.16
"ETL Engineer",0.00,0.00,0.00,72286.00
"Data DevOps Engineer",0.00,0.00,0.00,53984.00
"AI Developer",0.00,0.00,27500.00,110360.00
